METHOD,PAPER NUMBER,PROPOSED,mAP
RFRCN+AlexNet,21,0,55
FRCN+VGG16,21,0,62.2
SDP,21,1,70.7
SDP+CRC,21,1,69.3
SDP+CRC_ft,21,1,70.4
