METHOD,PAPER NUMBER,PROPOSED,ROUGE-1,ROUGE-2,ROUGE-L
ABS (beam),40,0,0.2027,0.0526,0.171
s2s+att (greedy),40,0,0.1515,0.0448,0.1362
s2s+att (beam),40,0,0.2265,0.0961,0.2139
SEASS (greedy),40,1,0.1977,0.0644,0.1736
SEASS (beam),40,1,0.2575,0.1063,0.229
