METHOD,PAPER NUMBER,PROPOSED,PROPORTION_100,PROPORTION_50,PROPORTION_33,PROPORTION_25,PROPORTION_20,PROPORTION_FULL,PROPORTION_First+Last,FIXED_Pick 5,FIXED_Pick 4,FIXED_Pick 3,FIXED_Pick 2
CONVNET,11,1,,82.74,82.72,82.94,82.84,83.04,68.62,83.12,82.91,82.59,81.71
WORD2VEC,11,0,,81.98,80.39,80.18,79.7,,,82.26,81.92,81.48,80.39
RANDOM,11,0,,79.79,76.72,74.87,73.2,,,80.02,79.05,77.15,74.48
MV&S,14,1,83.03,83.53,83.1,82.91,82.67,,68.62,83.07,83.09,82.88,82.04
Random,14,0,83.03,79.79,76.72,74.87,73.2,,,80.02,79.05,77.15,74.48
